ID,Name,Is_Closed,Review_Count,Rating,Price,Zip_Code
htdy8C1Rdz9baITZemFqgg,Evo Cycle Works,False,35,4.5,NaN,20850
wuFuQt1lI0kvy8ZaCie8WQ,Phoenix Bikes,False,28,4.5,$,22204
aes6SOPlGBSi4FoHknWbUQ,East Potomac Golf Course,False,114,3.5,$$,20024
OG5nM2il0cp0MaK6c9AJAw,Spokes Etc. Bicycles,False,19,4.0,NaN,22203
EgGkiQUAEd8iUReQfJyFZg,Pacers Running,False,16,4.5,$$,20003
r_3e6XcQN2Hb_h6U_qiSwQ,Handy Bikes,False,46,5.0,NaN,22304
vy2H6Xf55NhC0938QIzA4Q,Spokes Etc. Bicycles,False,48,4.5,$$$,22307
UiAA5CKvEcni6IF3xoWZjw,Cycles of Silver Spring,False,30,4.5,$$$,20910
aowukYOxbvpUuNKvxMeOWA,Conte's Bike Shop,False,37,4.5,$$,22046
5UZFR7qk81jwYF3n_ZwJEA,Bikenetic Full Service Bicycle Shop,False,95,4.5,$$,22046
EvLmGhOsWKkXGLGhGKVM3Q,Clinton Cycles,False,15,2.5,NaN,20748
iIJqWC2hEsxG8NUUa9bvtA,Mittens Pop Up Bike Shop,False,4,5.0,NaN,20001
ZNNwWunapph3PAWhq4OwDg,A & J Cycle Performance,False,8,4.5,NaN,20772
Jy6gV4N_57LR8bu67cQzrA,Crossroads Cycle,False,37,4.5,NaN,22041
fA06wgVa8CwCZOWTL8cw3A,Unlimited Biking,False,3,3.5,NaN,20024
rLBUUBSBArIy9hxJncaRUg,Hybrid Pedals,False,24,5.0,$$,22201
LQFwqXVcL2P6Be9_Uu8z2g,Conte's Bike Shop,False,16,4.0,NaN,22314
oYElueOSr_rUkgisyw7Gnw,Georgetown Running Company,False,71,4.0,$$,20007
ENVpHrjkP1WL4GcsErAcFw,Mount Rainier Bike Co-op,False,3,3.5,$,20712
ZAp1Eg9osOz3vBJQhUIWuw,Rats Cycles,False,20,4.5,NaN,22153
HQKlHmtix1zwT0EpWmBMgQ,Sun & Ski Sports,False,54,4.0,$$,22044
vd73Kr5WsTYWpW6nwZ9cxw,Dunn Lewis,False,3,5.0,NaN,20002
xplJcyRK765GeB2-22qL-g,velofix,False,13,4.5,NaN,22030
JFZr74r1UZIOAnYbJ_TehQ,Bike Club,False,71,3.5,$$,22046
9oG1-aB1P2qF5efz7f-WGw,Conversion Ebikes,False,1,5.0,NaN,20743
apgO5AzViXPsViL1e0uIXA,Spokes Etc. Bicycles,False,105,4.0,$$,22180
cxI4w3PiIoLJzEdLtgIfyA,Survival Services,False,12,5.0,NaN,20010
Z8r2tI98-fNTREXPIjbNRw,Big Wheel Bikes,False,20,2.5,NaN,20854
Flml5W1-uOi79B-PFVBcrw,Capital Bikeshare,False,385,2.5,NaN,20010
z9Enbz9rh9Ku91dN7TDJJw,Bicycle Pro Shop,False,7,4.5,NaN,22151
N-P-QHW1si1Fhfgr1m_82w,Bike Werks,False,9,4.0,NaN,20832
HXNUcGNuX1pyVEeufZ3Axw,Casual Adventure Outfitters,False,52,4.5,$$,22201
QozXLbPfhyjdN6O2et3Aaw,Washington & Old Dominion Regional Park,False,8,4.5,NaN,22206
F4fPzyVvH4Yk4hr-q3SUtw,#1 Ebikes,False,5,5.0,NaN,22201
n6qU8LGD6zgerfDgZtqTzw,REI,False,131,3.5,$$,22041
Kb6V4HAoIabchYf6cxXEfQ,REI,False,135,3.5,$$$,20852
-qsvE9uIu3DdiAYJq9RO4Q,Trifecta Tuning,False,1,5.0,NaN,22201
sWNJA-88ZhypcD8ak1_tRw,Bike and Roll,False,20,4.0,NaN,22314
0mZkuEENHtR0QqRiaC6QOQ,Myers Cycle Engineering,False,23,5.0,NaN,20895
5u8J-RDLWq1FEdagVUVrgw,REI,False,57,3.5,$$,22102
9O8jiDSt_0pJYCd-DoN4Xg,Everything Esmonde,False,2,5.0,NaN,20011
g5p1S16VbMLWWfeqcdt4Ag,Cycle Gear,False,19,4.0,$$,22150
FV17oLvqbkYnSZL2hemVgQ,The Green Commuter,False,19,3.5,$$,20910
cerXy3JuutREkWNSFhwm3A,DICK'S Sporting Goods,False,30,2.5,$$,20902
U-xTh_1xJWtWrhnEaJ-5mA,VeloWorks,False,1,4.0,NaN,22206
P2u1l1A36zLodZS9S8YLpw,Johnson Fitness & Wellness,False,24,4.5,$$,22102
wfvJblf21s3BGSzo8tI0VA,Modern Classics,False,36,4.5,NaN,20018
Wx2CXBWy66yDhl2oQVzSFg,DC Insider Tours,False,22,5.0,NaN,20001
0-I17M2edC0OO8cpPzP0pg,Precision Cycle Works,False,2,3.0,NaN,20705
wsqXGUVytcMziH31LRm0mw,Electric Cycling House,False,2,5.0,NaN,20814
